"scientificname" "station" "measurementvalue" "decimallatitude" "decimallongitude" "year" "month" "worms_id" "depth" "measurementunit" "taxonrank"
"TARA_AON_82_MAG_00278" "004" 0.00030060619120905 36.5533 -6.5669 2009 9 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "005" 0.00444625235620205 36.0244 -4.4685 2009 9 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "006" 0.0209403448965519 36.5207 -4.0074 2009 9 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "007" 0.00357636223418058 37.0434 1.9493 2009 9 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "008" 0.002320866659066 38.005 3.9899 2009 9 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "009" 0.00042015890904054 39.0864 5.791 2009 9 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "010" 0.00020281017483886 40.6541 2.8407 2009 9 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "011" 0.00620288269727303 41.6645 2.7983 2009 10 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "016" 0.00020639264757743 37.4956 15.4945 2009 10 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "018" 0.00189301324191632 35.7606 14.2522 2009 11 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "019" 0.00030470487452598 34.2116 13.7684 2009 11 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "020" 0.00015253267204803 34.453 14.9538 2009 11 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "021" 0.00023148067414295 37.5057 17.2174 2009 11 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "022" 0.027880086011982 39.5705 17.4101 2009 11 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "023" 0.00055961787524769 42.1735 17.7252 2009 11 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "025" 0.00026994941315574 39.3888 19.3905 2009 11 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "030" 0.00023971646959681 33.9178 32.8872 2009 12 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "032" 0.00027286776381271 23.36 37.2183 2010 1 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "036" 0.00035596749260552 20.8222 63.5133 2010 3 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "038" 0.00015247447331586 19.0351 64.5638 2010 3 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "039" 0.00387904529090272 18.5839 66.4727 2010 3 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "041" 0.00021019786807515 14.6059 69.9776 2010 3 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "042" 0.00010750653707798 6.0001 73.8955 2010 4 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "043" 0.0102319987202499 4.6599 73.4856 2010 4 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "045" 0.00016722507561273 0.0033 71.6428 2010 4 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
"TARA_AON_82_MAG_00278" "046" 0.00801270142466256 -0.6625 73.161 2010 4 "TARA_AON_82_MAG_00278" 1 "Omics proportion read, normalize by sequencing depth and length of genes, summed by MAGs" "MAG"
